OBJECTID,Damage,Zip Code,CAL FIRE Unit,County,Incident Start Date,Structure Defense Actions Taken,Structure Type,Structure Category,Units in Structure,Roof Construction,Eaves,Vent Screen,Exterior Siding,Window Pane,Deck/Porch On Grade,Deck/Porch Elevated,Patio Cover/Carport Attached to Structure,Fence Attached to Structure,Distance - Propane Tank to Structure,Distance - Residence to Utility/Misc Structure > 120 SQFT,Assessed Improved Value,Year Built,Latitude,Longitude,AIV missing,Year Built missing
40861,Destroyed (>50%),95969.0,BTU,Butte,2018-11-08,Unknown,Single Family Residence Single Story,Single Residence,1.0,Asphalt,Unenclosed,"Mesh Screen <= 1/8""""",Ignition Resistant,Multi Pane,Masonry/Concrete,No Deck/Porch,Combustible,No Fence,Unknown,<30,82695.0,1956.0,39.7710596734551,-121.628167377659,0,0
124543,No Damage,90272.0,LAC,Los Angeles,2025-01-07,Unknown,Single Family Residence Single Story,Single Residence,1.0,Tile,Unenclosed,"Mesh Screen > 1/8""""",Stucco/Brick/Cement,Multi Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,Non Combustible,Unknown,Unknown,403821.0,1960.0,34.0529871,-118.5380258,0,0
129444,Destroyed (>50%),90272.0,LAC,Los Angeles,2025-01-07,Unknown,Single Family Residence Multi Story,Single Residence,1.0,Asphalt,Unknown,No Vents,Stucco/Brick/Cement,Multi Pane,Masonry/Concrete,Masonry/Concrete,Combustible,No Fence,Unknown,Unknown,712324.5000000002,2016.0,34.049908,-118.5178378,0,0
6617,Destroyed (>50%),42679.0,FKU,Fresno,2020-09-04,Unknown,Single Family Residence Single Story,Single Residence,0.0,Metal,Enclosed,No Vents,Wood,Single Pane,Wood,Wood,No Patio Cover/Carport,No Fence,Unknown,Unknown,30827.0,1961.0,37.0793401853762,-119.413935883753,0,0
84711,Destroyed (>50%),95947.0,LMU,Plumas,2021-07-13,Unknown,Commercial Building Single Story,Nonresidential Commercial,0.0,Metal,No Eaves,No Vents,Stucco/Brick/Cement,Multi Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,Unknown,Unknown,88261.0,1966.0,40.1396214446287,-120.948581002794,0,1
119176,No Damage,91104.0,LAC,Los Angeles,2025-01-07,Unknown,Single Family Residence Single Story,Single Residence,1.0,Asphalt,Enclosed,Unscreened,Vinyl,Single Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,Combustible,Unknown,Unknown,113737.0,1923.0,34.1787164,-118.136858,0,0
100874,No Damage,93010.0,VNC,Ventura,2024-11-06,Unknown,Utility Misc Structure,Other Minor Structure,0.0,Tile,Unenclosed,No Vents,Wood,Single Pane,Wood,No Deck/Porch,Combustible,No Fence,Unknown,<30,24960.0,1990.0,34.2438469,-119.0524899,0,0
75550,No Damage,95448.0,LNU,Sonoma,2019-10-23,Unknown,Single Family Residence Single Story,Single Residence,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,286620.0,1966.0,38.6095963735557,-122.846974924595,0,0
94751,No Damage,95667.0,AEU,El Dorado,2024-07-06,Unknown,Commercial Building Single Story,Nonresidential Commercial,1.0,Metal,No Eaves,No Vents,Metal,Single Pane,No Deck/Porch,No Deck/Porch,Non Combustible,No Fence,Unknown,Unknown,0.0,1966.0,38.7220117,-120.764929,0,1
5310,No Damage,93265.0,TUU,Tulare,2020-08-19,Unknown,Utility Misc Structure,Other Minor Structure,0.0,Metal,Unenclosed,"Mesh Screen > 1/8""""",Wood,No Windows,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,Unknown,Unknown,60107.0,1966.0,36.1456106649131,-118.611337970635,0,1
