OBJECTID,* Damage,* Street Number,* Street Name,"* Street Type (e.g. road, drive, lane, etc.)",* City,State,Zip Code,* CAL FIRE Unit,County,Community,Incident Start Date,Hazard Type,Structure Defense Actions Taken,* Structure Type,Structure Category,# Units in Structure (if multi unit),* Roof Construction,* Eaves,* Vent Screen,* Exterior Siding,* Window Pane,* Deck/Porch On Grade,* Deck/Porch Elevated,* Patio Cover/Carport Attached to Structure,* Fence Attached to Structure,Distance - Propane Tank to Structure,Distance - Residence to Utility/Misc Structure &gt; 120 SQFT,Assessed Improved Value (parcel),Year Built (parcel),Site Address (parcel),Latitude,Longitude
40861,Destroyed (>50%),609.0,Bille,Road,Paradise Northwest B,CA,,BTU,Butte,Paradise ,11/8/2018 12:00:00 AM,Fire,Unknown,Single Family Residence Single Story,Single Residence,,Asphalt,Unenclosed,"Mesh Screen <= 1/8""""",Ignition Resistant,Multi Pane,Masonry/Concrete,No Deck/Porch,Combustible,No Fence,,<30',82695.0,1956.0,609  BILLE RD   PARADISE CA 95969,39.7710596734551,-121.628167377659
124543,No Damage,1148.0,Las Pulgas ,Road,Pacific Palisades,CA,90272.0,LAC,Los Angeles,,1/7/2025 8:02:01 AM,Fire,,Single Family Residence Single Story,Single Residence,,Tile,Unenclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,Multi Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,Non Combustible,,,403821.0,1960.0,"1148 LAS PULGAS RD, PACIFIC PALISADES, CA 90272",34.0529871,-118.5380258
129444,Destroyed (>50%),1101.0,Chautauqua ,Boulevard,Pacific Palisades,CA,90272.0,LAC,Los Angeles,,1/7/2025 8:02:01 AM,Fire,,Single Family Residence Multi Story,Single Residence,,Asphalt,Unknown,No Vents,Stucco Brick Cement,Multi Pane,Masonry/Concrete,Masonry/Concrete,Combustible,No Fence,,,2459718.0,2016.0,"1101 CHAUTAUQUA BLVD, PACIFIC PALISADES, CA 90272",34.049908,-118.5178378
6617,Destroyed (>50%),42679.0,Grey Squirrel ,Lane,,CA,0.0,FKU,Fresno,,9/4/2020 12:00:00 AM,Fire,,Single Family Residence Single Story,Single Residence,0.0,Metal,Enclosed,No Vents,Wood,Single Pane,Wood,Wood,No Patio Cover/Carport,No Fence,,,30827.0,1961.0,42679 GREY SQUIRREL LN AUBERRY CA 93602,37.0793401853762,-119.413935883753
84711,Destroyed (>50%),202.0,Crescent ,Street,Greenville,CA,95947.0,LMU,Plumas,Greenville ,7/13/2021 12:00:00 AM,Fire,,Commercial Building Single Story,Nonresidential Commercial,0.0,Metal,No Eaves,No Vents,Stucco Brick Cement,Multi Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,,,88261.0,,202 CRESCENT ST GREENVILLE CA 95947,40.1396214446287,-120.948581002794
119176,No Damage,1914.0,El Molino,Street,Pasadena,CA,91104.0,LAC,Los Angeles,,1/7/2025 8:02:01 AM,Fire,,Single Family Residence Single Story,Single Residence,,Asphalt,Enclosed,Unscreened,Vinyl,Single Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,Combustible,,,113737.0,1923.0,"1914 N EL MOLINO AVE, PASADENA, CA 91104",34.1787164,-118.136858
100874,No Damage,152.0,San Miguel ,Drive,Camarillo,CA,93010.0,VNC,Ventura,Camarillo,11/6/2024 12:00:00 AM,Fire,Unknown,Utility Misc Structure,Other Minor Structure,0.0,Tile,Unenclosed,No Vents,Wood,Single Pane,Wood,No Deck/Porch,Combustible,No Fence,,<30',24960.0,1990.0,"152 SAN MIGUEL DR, CAMARILLO, CA 93010",34.2438469,-119.0524899
75550,No Damage,1360.0,Pinon,Drive,Healdsburg,CA,,LNU,Sonoma,Healdsburg,10/23/2019 12:00:00 AM,Fire,,Single Family Residence Single Story,Single Residence,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,286620.0,1966.0,1360 PINON DR HEALDSBURG CA 95448,38.6095963735557,-122.846974924595
94751,No Damage,3501.0,Airport,Road,Placerville,CA,95667.0,AEU,El Dorado,,7/6/2024 12:00:00 AM,Fire,,Commercial Building Single Story,Nonresidential Commercial,1.0,Metal,No Eaves,No Vents,Metal,Single Pane,No Deck/Porch,No Deck/Porch,Non Combustible,No Fence,,,0.0,0.0,"3501 AIRPORT RD, PLACERVILLE, CA 95667",38.7220117,-120.764929
5310,No Damage,728.0,Loop,Drive,,CA,0.0,TUU,Tulare,,8/19/2020 12:00:00 AM,Fire,,Utility Misc Structure,Other Minor Structure,0.0,Metal,Unenclosed,"Mesh Screen > 1/8""""",Wood,No Windows,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,,60107.0,0.0,669 LINDER DR # A SPRINGVILLE CA 93265,36.1456106649131,-118.611337970635
21215,No Damage,0.0,,,,CA,,CZU,Santa Cruz,,8/16/2020 12:00:00 AM,Fire,,Single Family Residence Single Story,Single Residence,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,270082.0,1976.0,271 PINERIDGE RD BONNY DOON CA 95060,37.0432441699837,-122.112906481435
103835,No Damage,3855.0,Denair,Street,Pasadena,CA,91107.0,LAC,Los Angeles,,1/7/2025 8:02:01 AM,Fire,,Single Family Residence Single Story,Single Residence,,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,Multi Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,Non Combustible,,,147247.0,1952.0,"3855 DENAIR ST, PASADENA, CA 91107",34.17146,-118.0692264
46129,Destroyed (>50%),961.0,Central Park ,Drive,Paradise Central Southwest B,CA,,BTU,Butte,Paradise ,11/8/2018 12:00:00 AM,Fire,,Single Family Residence Multi Story,Single Residence,,Asphalt,Enclosed,"Mesh Screen <= 1/8""""",Ignition Resistant,Single Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,,,63323.0,1948.0,961  CENTRAL PARK DR   PARADISE CA 95969,39.7661339572423,-121.606102860632
68916,Destroyed (>50%),498.0,Royal Meadows ,Court,Unincorporated,CA,0.0,LNU,Sonoma,Riebli,10/8/2017 12:00:00 AM,Fire,,Single Family Residence Multi Story,Single Residence,,Fire Resistant,Unknown,Screened,Fire Resistant,Multi Pane, , , ,,,,1615000.0,,414 ROYAL MEADOWS CT SANTA ROSA CA 95404,38.4988549288395,-122.683619913982
48371,Destroyed (>50%),30473.0,Mulholland Hwy,,Los Angeles County,CA,,LAC,Los Angeles,Seminole Springs Mobile Home Park,11/8/2018 12:00:00 AM,Fire,Unknown,Mobile Home Single Wide,Single Residence,,Metal,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,838679.0,1968.0,30473 MULHOLLAND HWY CORNELL CA 91301,34.1102592764084,-118.7928038582
47335,Destroyed (>50%),1631.0,Timber,Lane,Paradise Northeast A,CA,,BTU,Butte,Paradise,11/8/2018 12:00:00 AM,Fire,Unknown,Mobile Home Double Wide,Single Residence,,Asphalt,Unenclosed,No Vents,Combustible,Single Pane,Wood,No Deck/Porch,Combustible,No Fence,,<30',6209.0,0.0,1651  TIMBER LN   PARADISE CA 95969,39.7862844356301,-121.580794879254
105242,Destroyed (>50%),1016.0,Concha,Street,Altadena,CA,91001.0,LAC,Los Angeles,Altadena,1/7/2025 8:02:01 AM,Fire,,Single Family Residence Single Story,Single Residence,,Unknown,Unknown,Unknown,Stucco Brick Cement,Unknown,Masonry/Concrete,No Deck/Porch,Unknown,Non Combustible,,,113211.0,1948.0,"1016 CONCHA ST, ALTADENA, CA 91001",34.1989593,-118.1283173
93989,No Damage,4948.0,Trabucco,Street,Mariposa,CA,95338.0,MMU,Mariposa,,7/4/2024 12:00:00 AM,Fire,,Mobile Home Single Wide,Single Residence,0.0,Metal,Enclosed,No Vents,Metal,Single Pane,Wood,Wood,Non Combustible,Combustible,,,50280.0,0.0,"5028 MARIPOSA ST, MARIPOSA, CA 95338",37.4869122,-119.9613871
59911,Destroyed (>50%),1440.0,Starview,Court,Santa Rosa,CA,0.0,LNU,Sonoma,Coffey Park,10/8/2017 12:00:00 AM,Fire,,Single Family Residence Single Story,Single Residence,,Fire Resistant,Unknown,Unknown,Fire Resistant,Unknown, , , ,,,,256000.0,,1440 STARVIEW CT SANTA ROSA CA 95403,38.4810701762042,-122.746897873213
88303,No Damage,20057.0,Jacrene,Lane,Redding,CA,96003.0,SHU,Shasta,,9/22/2021 12:00:00 AM,Fire,,Single Family Residence Multi Story,Single Residence,0.0,Asphalt,Unenclosed,"Mesh Screen <= 1/8""""",Stucco Brick Cement,Multi Pane,Masonry/Concrete,Masonry/Concrete,Non Combustible,No Fence,,,309968.0,,20057 JACRENE LN REDDING CA 96003,40.6846963390695,-122.314955814752
